№,Погрешность угла наклона,Погрешность угла поворота,Погрешность скорости,Угол наклона,Угол поворота,Скорость,Дальность полета,x,y,Результат попадания
16,2.749463912116883,1.8418604815923514,-3.22552462575341,32.74946391211688,46.84186048159235,26.77447537424659,11.634165337510877,8.95793588340543,8.486757895459716,True
17,1.4188873862259666,-1.7889520735962061,-0.3510867715729127,31.41888738622597,43.21104792640379,29.648913228427087,11.985380356319261,9.735384080211109,8.2062419691865,True
18,-2.652625220518047,1.0313755394924629,4.783557302516538,27.347374779481953,46.031375539492466,34.78355730251654,12.368746479263322,9.587179749536206,8.90203535251597,True
19,0.20802197048105153,0.5528739576518573,-4.963247813414135,30.208021970481052,45.552873957651855,25.036752186585865,11.23010147509388,8.863887102339822,8.017135322704684,True
20,-0.05450449846520655,3.901496603927127,0.5710450223444061,29.945495501534793,48.90149660392713,30.571045022344407,12.025847695528233,8.90525787032491,9.062445078438147,True
21,1.9231620955087925,-2.3984624739783045,-2.5723494737524955,31.923162095508793,42.601537526021694,27.427650526247504,11.695296172640068,9.60866101047328,7.916495952915441,False
22,-1.1783727606486472,1.2290861112016183,3.4884745397812242,28.821627239351354,46.22908611120162,33.48847453978122,12.293111711301965,9.50408805901782,8.876997343191,True
23,3.4994396226689464,2.2507252027716396,4.053439259271995,33.499439622668945,47.25072520277164,34.053439259272,12.526311833041722,9.502753385195199,9.198460360796947,True
24,-1.2065496470414483,3.4459229257584294,-4.730295751020317,28.79345035295855,48.44592292575843,25.269704248979682,11.162894555204424,8.404645277821398,8.353528784905803,True
25,3.4746873815839425,-4.177927897913917,4.393123869558501,33.47468738158394,40.82207210208608,34.3931238695585,12.542006632987,10.49107925868061,8.198862414221415,False
26,1.785044816634053,-2.168886146841981,2.183234878702777,31.785044816634052,42.831113853158016,32.18323487870278,12.291789057898404,10.014316171952572,8.356445547955499,True
27,-1.723595299805826,-2.5735940803624526,-3.8034565073360946,28.276404700194174,42.426405919637546,26.196543492663906,11.275751077286504,9.323133599454156,7.607102565534729,False
28,3.3170314447995057,3.3372870342137517,3.02762832982687,33.317031444799504,48.33728703421375,33.02762832982687,12.41165068244851,9.250574237041805,9.272383589033977,True
29,-0.9339962581192385,-4.605550705379008,-0.8424926830981043,29.066003741880763,40.39444929462099,29.157507316901896,11.781004277930105,9.972425729733352,7.634634131445091,False
30,1.2766721317681995,-3.803150012971066,-0.9154681395574285,31.2766721317682,41.19684998702893,29.08453186044257,11.883326507311452,9.941622354632015,7.826930339955506,False
31,0.40019594016125026,2.651377938308924,2.7805336655932864,30.40019594016125,47.651377938308926,32.78053366559329,12.308030352171398,9.291180744143402,9.09636922172347,True
32,-0.8119297693521954,4.213905350557848,1.8522694325788427,29.188070230647803,49.21390535055785,31.852269432578844,12.139377621604456,8.929888998509103,9.191373646590337,True
33,0.9377565954988238,-4.511538791434474,3.82779606804937,30.937756595498826,40.488461208565525,33.827796068049366,12.418509164786641,10.444732506370078,8.063274630012684,False
